source_file,date,description,amount,suggested_category,confidence,reason
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-04,Payment Thank You-Mobile,-594.12,Uncategorized,0.3765029311180115,Low similarity (best=0.377)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-24,Payment Thank You-Mobile,-1066.82,Uncategorized,0.3765029311180115,Low similarity (best=0.377)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-28,UBER *TRIP HELP.UBER.COM CA,23.93,Uncategorized,0.26339423656463623,Low similarity (best=0.263)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-27,TST*TIN BUILDING QSRS New York NY,16.05,Uncategorized,0.2000298947095871,Low similarity (best=0.200)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-28,CLR*ClubPilates6462895099 646-2895099 NY,25.0,Uncategorized,0.1261136829853058,Low similarity (best=0.126)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.25,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.96,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-30,PRET A MANGER US0035 NEW YORK NY,6.53,Uncategorized,0.2544185519218445,Low similarity (best=0.254)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-01,BH* BETTERHELP BETTERHELP.CO CA,65.0,Uncategorized,0.158427894115448,Low similarity (best=0.158)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-03,JUBILEE MARKET PLACE NEW YORK NY,7.99,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-04,SQ *COFFEE PROJECT NEW YO New York NY,8.33,Uncategorized,0.16888800263404846,Low similarity (best=0.169)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,GOLD MINI MART NEW YORK NY,15.6,Uncategorized,0.2238338589668274,Low similarity (best=0.224)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,JUBILEE MARKET PLACE NEW YORK NY,6.29,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-07,CTLP*FAIRFIELD COUNTY NORWALK CT,3.5,Uncategorized,0.19083207845687866,Low similarity (best=0.191)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-08,BH* BETTERHELP BETTERHELP.CO CA,65.0,Uncategorized,0.158427894115448,Low similarity (best=0.158)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-10,SQ *MATTO JOHN ST. New York NY,13.14,Uncategorized,0.11131204664707184,Low similarity (best=0.111)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-11,ID HOT YOGA FIDI 164-65591717 NY,2.5,Uncategorized,0.12131963670253754,Low similarity (best=0.121)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,PP*ANUM CRYSTAL NEW YORK NY,64.78,Uncategorized,0.1667461395263672,Low similarity (best=0.167)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,SQ *BLUESTONE LANE - 167 New York NY,67.75,Uncategorized,0.17642158269882202,Low similarity (best=0.176)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,BH* BETTERHELP BETTERHELP.CO CA,65.0,Uncategorized,0.158427894115448,Low similarity (best=0.158)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,SQ *CAFE 'CITO New York NY,9.81,Uncategorized,0.11505483090877533,Low similarity (best=0.115)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-14,JUBILEE MARKET PLACE NEW YORK NY,10.47,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-14,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,21.78,Uncategorized,0.16934628784656525,Low similarity (best=0.169)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,SUNAC NATURAL NEW YORK NY,26.62,Uncategorized,0.15912875533103943,Low similarity (best=0.159)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-16,SQ *VARIETY COFFEE ROASTE New York NY,7.53,Uncategorized,0.1513141691684723,Low similarity (best=0.151)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-16,CENTURY 21 NEW YORK NY,24.99,Uncategorized,0.15247449278831482,Low similarity (best=0.152)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-17,SQ *VARIETY COFFEE ROASTE New York NY,10.25,Uncategorized,0.1513141691684723,Low similarity (best=0.151)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,TST* PARIS BAGUETTE - 103 NEW YORK NY,19.28,Uncategorized,0.15452200174331665,Low similarity (best=0.155)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,GOLD MINI MART NEW YORK NY,14.56,Uncategorized,0.2238338589668274,Low similarity (best=0.224)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-21,SUNOCO 0509424800 SARATOGA SPRI NY,8.79,Uncategorized,0.25823307037353516,Low similarity (best=0.258)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-21,ADIRONDACK GUN AND RAN QUEENSBURY NY,504.4,Uncategorized,0.06463686376810074,Low similarity (best=0.065)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-20,JUBILEE MARKET PLACE NEW YORK NY,23.46,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-22,BH* BETTERHELP BETTERHELP.CO CA,65.0,Uncategorized,0.158427894115448,Low similarity (best=0.158)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-24,SQ *HOODA HALAL Levittown NY,25.59,Uncategorized,0.1157289668917656,Low similarity (best=0.116)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-23,LAGRANGE VALERO LAGRANGEVILLE NY,3.23,Uncategorized,0.1517098993062973,Low similarity (best=0.152)
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-25,JUBILEE MARKET PLACE NEW YORK NY,34.69,Uncategorized,0.1725851595401764,Low similarity (best=0.173)
eStmt_2025-12-05.pdf,2050-11-10,11/11 PAYMENT FROM CHK 7256 CONF#qxqwfz9ey 3019 4249,-176.01,Uncategorized,0.30981215834617615,Low similarity (best=0.310)
eStmt_2025-12-05.pdf,2050-11-21,11/24 HARVEST MOON FARM MARKET NORTH SALEM NY 6315 4249,-16.26,Uncategorized,0.2517841160297394,Low similarity (best=0.252)
eStmt_2025-12-05.pdf,2050-11-28,11/28 PAYMENT FROM CHK 7256 CONF#M99020090714 1549 4249,-1007.32,Uncategorized,0.38497745990753174,Low similarity (best=0.385)
