source_file,date,description,amount
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-04,Payment Thank You-Mobile,-594.12
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-24,Payment Thank You-Mobile,-1066.82
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-28,UBER *TRIP HELP.UBER.COM CA,23.93
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-27,TST*TIN BUILDING QSRS New York NY,16.05
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-28,CLR*ClubPilates6462895099 646-2895099 NY,25.0
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.25
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-29,JUBILEE MARKET PLACE NEW YORK NY,27.96
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-10-30,PRET A MANGER US0035 NEW YORK NY,6.53
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-01,BH* BETTERHELP BETTERHELP.CO CA,65.0
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-03,JUBILEE MARKET PLACE NEW YORK NY,7.99
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-04,SQ *COFFEE PROJECT NEW YO New York NY,8.33
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,GOLD MINI MART NEW YORK NY,15.6
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-05,JUBILEE MARKET PLACE NEW YORK NY,6.29
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-07,CTLP*FAIRFIELD COUNTY NORWALK CT,3.5
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-08,BH* BETTERHELP BETTERHELP.CO CA,65.0
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-10,SQ *MATTO JOHN ST. New York NY,13.14
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-11,ID HOT YOGA FIDI 164-65591717 NY,2.5
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,PP*ANUM CRYSTAL NEW YORK NY,64.78
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-12,SQ *BLUESTONE LANE - 167 New York NY,67.75
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,BH* BETTERHELP BETTERHELP.CO CA,65.0
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-15,SQ *CAFE 'CITO New York NY,9.81
0686C1AA-B0DD-4966-9C58-CDC565B1AE9B-list.pdf,2025-11-14,JUBILEE MARKET PLACE NEW YORK NY,10.47
